loading from [movielens/ml-1m]
95281 interactions for training
dataset is ready to go
loading adjacency matrix
successfully loaded...
don't split the matrix
loading adjacency matrix
Epoch 0 Loss: 15.794835090637207
Epoch 1 Loss: 15.786051750183105
Epoch 2 Loss: 12.36685562133789
Epoch 3 Loss: 3.8359344005584717
Epoch 4 Loss: 3.657076120376587
Epoch 5 Loss: 3.441105365753174
Epoch 6 Loss: 3.2297167778015137
Epoch 7 Loss: 2.95538067817688
Epoch 8 Loss: 2.698678731918335
Epoch 9 Loss: 2.538832664489746
Epoch 10 Loss: 2.4424502849578857
Epoch 11 Loss: 2.3811094760894775
Epoch 12 Loss: 2.3036694526672363
Epoch 13 Loss: 2.230346918106079
Epoch 14 Loss: 2.1635897159576416
Epoch 15 Loss: 2.1187593936920166
Epoch 16 Loss: 2.079929828643799
Epoch 17 Loss: 1.997219443321228
Epoch 18 Loss: 1.970925211906433
Epoch 19 Loss: 1.9377914667129517
Epoch 20 Loss: 1.9102087020874023
Epoch 21 Loss: 1.851508617401123
Epoch 22 Loss: 1.8063205480575562
Epoch 23 Loss: 1.7839113473892212
Epoch 24 Loss: 1.767751693725586
Epoch 25 Loss: 1.7793794870376587
Epoch 26 Loss: 1.6987766027450562
Epoch 27 Loss: 1.6812838315963745
Epoch 28 Loss: 1.6454979181289673
Epoch 29 Loss: 1.6488714218139648
Epoch 30 Loss: 1.6483155488967896
Epoch 31 Loss: 1.580705165863037
Epoch 32 Loss: 1.5712748765945435
Epoch 33 Loss: 1.562146782875061
Epoch 34 Loss: 1.5558743476867676
Epoch 35 Loss: 1.5428636074066162
Epoch 36 Loss: 1.4968541860580444
Epoch 37 Loss: 1.4940853118896484
Epoch 38 Loss: 1.5072453022003174
Epoch 39 Loss: 1.4830735921859741
Epoch 40 Loss: 1.4600377082824707
Epoch 41 Loss: 1.4367096424102783
Epoch 42 Loss: 1.4930750131607056
Epoch 43 Loss: 1.4505661725997925
Epoch 44 Loss: 1.4374897480010986
Epoch 45 Loss: 1.4561169147491455
Epoch 46 Loss: 1.406432867050171
Epoch 47 Loss: 1.421934723854065
Epoch 48 Loss: 1.3920130729675293
Epoch 49 Loss: 1.3876982927322388
Epoch 50 Loss: 1.3944571018218994
Epoch 51 Loss: 1.3873600959777832
Epoch 52 Loss: 1.3765281438827515
Epoch 53 Loss: 1.3597791194915771
Epoch 54 Loss: 1.3511943817138672
Epoch 55 Loss: 1.369694709777832
Epoch 56 Loss: 1.354712963104248
Epoch 57 Loss: 1.3462121486663818
Epoch 58 Loss: 1.3345441818237305
Epoch 59 Loss: 1.3174060583114624
Epoch 60 Loss: 1.3134034872055054
Epoch 61 Loss: 1.305289387702942
Epoch 62 Loss: 1.3062862157821655
Epoch 63 Loss: 1.290108561515808
Epoch 64 Loss: 1.3240635395050049
Epoch 65 Loss: 1.286194086074829
Epoch 66 Loss: 1.3043503761291504
Epoch 67 Loss: 1.3134114742279053
Epoch 68 Loss: 1.2898824214935303
Epoch 69 Loss: 1.3112471103668213
Epoch 70 Loss: 1.3022810220718384
Epoch 71 Loss: 1.272460699081421
